Duration (in seconds),Q1,Q41,Q2,Q8,Q3,Q3_4_TEXT,Q42,Q43,Q20,Q21,Q46,Q49,Q50,Q53,Q55,Q44,Q45,Q9
Duration (in seconds),"What is your age in years?
*",What is your gender? *,What is your race? Check all that apply. *,What is the highest level of education you have completed? *,"Thinking about your political affiliation, which of the following do you identify yourself as? * - Selected Choice","Thinking about your political affiliation, which of the following do you identify yourself as? * - Other - Text",What is your current education/employment status? Please mark all that apply. *,"What is your best estimate of total household income from all sources, before taxes, in 2019? *",How optimistic are you about the future of the United States economy over the next 5 years? *,"In January of 2020, how often had you been feeling nervous, anxious, or on edge? *","Over the last two weeks, how often have you been feeling nervous, anxious, or on edge? *","In January of 2020, how often did you have little interest or pleasure in doing things? *","Over the last two weeks, how often have you had little interest or pleasure in doing things? *",Have you received mental health services - counseling or prescription drugs - as a result of the COVID-19 pandemic? *,How optimistic are you about your life in the upcoming month? *,Have you been infected with COVID-19 virus? *,When do you expect to be vaccinated with the COVID-19 vaccination? *,"People are busy these days and do not always have time to answer surveys. While some have time to answer, others may not have time to read survey questions carefully. To show that you’ve read carefully, please ignore the choices below and just click on the NEXT arrow at the bottom of this page. That’s right, there is no question — just click on the NEXT arrow at the bottom of the page and ignore the choices below."
114,42,Male,White,"Associate's degree (e.g., AA, AS)",Independent,,Work from home,"$10,000 to $39,999",Indifferent,Not at all,Not at all,Not at all,Not at all,"Yes, counseling",Indifferent,No,I will decline a COVID-19 vaccination.,
107,45,Female,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$40,000 to $79,999",Somewhat pessimistic,Rarely (Only a few times in the month),"Frequently (Every other day, 50% of the time or more)","Frequently (Every other day, 50% of the time or more)",Sometimes (Less than 50% of the time),"Yes, counseling",Somewhat pessimistic,,January 2021,Very interested (2)
137,38,Female,White,Some college credit,Democrat,,Work from home,"$10,000 to $39,999",Indifferent,Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),"No, and not thinking about seeking such services in the near future",Somewhat optimistic,No,February 2021,
114,28,Male,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,"Remote Education,Work from home","$40,000 to $79,999",Indifferent,Rarely (Only a few times in the month),"Frequently (Every other day, 50% of the time or more)",Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"Yes, prescription drugs",Somewhat optimistic,No,February 2021,
127,30,Female,White,"Associate's degree (e.g., AA, AS)",Democrat,,Remote Education,"$10,000 to $39,999",Somewhat pessimistic,"Frequently (Every other day, 50% of the time or more)",Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),"Yes, prescription drugs",Very optimistic,No,June 2021,
116,55,Female,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$40,000 to $79,999",Very optimistic,Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)",Rarely (Only a few times in the month),"Frequently (Every other day, 50% of the time or more)","Yes, counseling and prescription drugs",Very pessimistic,"Yes, I tested positive",January 2021,
137,33,Female,White,"Bachelor's degree (e.g., BA, BS)",Republican,,"Work from home,Non-remote working","$80,000 to $119,999",Somewhat optimistic,Rarely (Only a few times in the month),Rarely (Only a few times in the month),Not at all,Not at all,"No, and not thinking about seeking such services in the near future",Somewhat pessimistic,No,June 2021,
123,30,Male,White,"Bachelor's degree (e.g., BA, BS)",Republican,,Work from home,"$10,000 to $39,999",Indifferent,Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),"Frequently (Every other day, 50% of the time or more)","Yes, prescription drugs",Indifferent,"Maybe, I had symptoms but did not get tested",March 2021,
174,32,Male,Asian,"Post-bachelor's degree (e.g., MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",Democrat,,Work from home,"$40,000 to $79,999",Very optimistic,Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)","Frequently (Every other day, 50% of the time or more)",Constantly (Nearly every day or every day),"No, and not thinking about seeking such services in the near future",Somewhat pessimistic,No,March 2021,
175,45,Male,White,"Bachelor's degree (e.g., BA, BS)",Republican,,"Remote Education,Work from home,Other","$40,000 to $79,999",Indifferent,Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)","No, but thinking about seeking such services in the near future",Indifferent,"Maybe, I had symptoms but did not get tested",December 2021,
128,30,Male,White,"Bachelor's degree (e.g., BA, BS)",Republican,,Work from home,"$80,000 to $119,999",Somewhat pessimistic,Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),Rarely (Only a few times in the month),"Frequently (Every other day, 50% of the time or more)","Yes, prescription drugs",Indifferent,No,November 2021,
144,28,Female,White,"Bachelor's degree (e.g., BA, BS)",Republican,,Remote Education,"$40,000 to $79,999",Somewhat pessimistic,Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)",Rarely (Only a few times in the month),"Frequently (Every other day, 50% of the time or more)","Yes, prescription drugs",Very pessimistic,"Yes, I tested positive",December 2020,
156,53,Male,White,"Post-bachelor's degree (e.g., MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",Republican,,Work from home,"$200,000 to $249,999",Somewhat optimistic,Not at all,Not at all,Not at all,Not at all,"No, and not thinking about seeking such services in the near future",Somewhat optimistic,No,March 2021,
95,25,Female,Asian,High school diploma or GED,Republican,,Non-remote working,"$10,000 to $39,999",Somewhat pessimistic,Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)",Rarely (Only a few times in the month),"Yes, counseling and prescription drugs",Indifferent,"Maybe, I had symptoms but did not get tested",March 2021,
172,54,Female,White,Some college credit,Democrat,,Work from home,"$40,000 to $79,999",Somewhat optimistic,Not at all,Rarely (Only a few times in the month),Not at all,Not at all,"No, and not thinking about seeking such services in the near future",Somewhat optimistic,No,February 2021,
180,28,Male,White,"Post-bachelor's degree (e.g., MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",Democrat,,Work from home,"$40,000 to $79,999",Very optimistic,Rarely (Only a few times in the month),Not at all,Sometimes (Less than 50% of the time),Not at all,"No, and not thinking about seeking such services in the near future",Somewhat optimistic,No,March 2021,
99,47,Male,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$40,000 to $79,999",Somewhat pessimistic,Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)","Frequently (Every other day, 50% of the time or more)","Yes, counseling and prescription drugs",Somewhat pessimistic,"Yes, I tested positive",March 2021,
201,44,Female,White,"Bachelor's degree (e.g., BA, BS)",Independent,,Work from home,"$40,000 to $79,999",Indifferent,Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Not at all,Not at all,"No, and not thinking about seeking such services in the near future",Somewhat optimistic,No,June 2021,
192,37,Female,White,"Post-bachelor's degree (e.g., MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",Democrat,,Work from home,"$40,000 to $79,999",Indifferent,Not at all,Not at all,Not at all,Not at all,"Yes, counseling and prescription drugs",Indifferent,No,February 2021,
201,28,Male,White,"Post-bachelor's degree (e.g., MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",Democrat,,Work from home,"$40,000 to $79,999",Indifferent,Rarely (Only a few times in the month),Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"No, and not thinking about seeking such services in the near future",Indifferent,No,January 2021,Extremely interested (1)
226,29,Male,Asian,High school diploma or GED,Democrat,,Other,"$10,000 to $39,999",Very pessimistic,Constantly (Nearly every day or every day),Constantly (Nearly every day or every day),"Frequently (Every other day, 50% of the time or more)","Frequently (Every other day, 50% of the time or more)","No, and not thinking about seeking such services in the near future",Very pessimistic,No,December 2021,
230,62,Female,White,High school diploma or GED,Democrat,,Other,"$40,000 to $79,999",Somewhat optimistic,Not at all,Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"No, and not thinking about seeking such services in the near future",Somewhat optimistic,No,April 2021,
229,31,Male,Hispanic/Latino,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$40,000 to $79,999",Somewhat optimistic,Rarely (Only a few times in the month),Not at all,Rarely (Only a few times in the month),"Frequently (Every other day, 50% of the time or more)","No, and not thinking about seeking such services in the near future",Somewhat pessimistic,"Maybe, I had symptoms but did not get tested",February 2021,Moderately interested (3)
223,60,Male,White,Some college credit,Republican,,Recently paused/terminated education to COVID-19 related reasons,"$10,000 to $39,999",Somewhat pessimistic,Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)",Rarely (Only a few times in the month),Constantly (Nearly every day or every day),"No, but thinking about seeking such services in the near future",Indifferent,"Yes, I tested positive",April 2021,
228,28,Male,White,"Bachelor's degree (e.g., BA, BS)",Republican,,Work from home,"$40,000 to $79,999",Somewhat pessimistic,Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)",Sometimes (Less than 50% of the time),"Yes, counseling and prescription drugs",Somewhat pessimistic,No,January 2021,Not at all interested (5)
63,36,Male,White,Some college credit,Republican,,Work from home,"$0 to $9,999",Indifferent,Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)",Rarely (Only a few times in the month),"Yes, counseling and prescription drugs",Indifferent,"Maybe, I had symptoms but did not get tested",January 2021,
205,27,Female,White,High school diploma or GED,Democrat,,Work from home,"$10,000 to $39,999",Somewhat optimistic,Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"Yes, prescription drugs",Somewhat optimistic,"Yes, I tested positive",January 2021,
115,28,Male,White,"Post-bachelor's degree (e.g., MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",Republican,,Work from home,"$40,000 to $79,999",Somewhat optimistic,Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)",Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)","Yes, prescription drugs",Very optimistic,"Maybe, I had symptoms but did not get tested",January 2021,
108,45,Male,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$40,000 to $79,999",Somewhat pessimistic,Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)",Sometimes (Less than 50% of the time),"Yes, counseling",Somewhat optimistic,No,January 2021,
228,48,Male,White,High school diploma or GED,Independent,,Unemployed before COVID-19,"$10,000 to $39,999",Somewhat pessimistic,"Frequently (Every other day, 50% of the time or more)","Frequently (Every other day, 50% of the time or more)",Constantly (Nearly every day or every day),Constantly (Nearly every day or every day),"No, and not thinking about seeking such services in the near future",Somewhat pessimistic,No,Some time in 2022 or later,
263,61,Female,White,"Bachelor's degree (e.g., BA, BS)",Independent,,Other,"$40,000 to $79,999",Somewhat optimistic,Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)","No, and not thinking about seeking such services in the near future",Very pessimistic,No,April 2021,
204,56,Female,White,"Associate's degree (e.g., AA, AS)",Independent,,Non-remote working,"$160,000 to $199,999",Somewhat optimistic,Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),Not at all,Not at all,"No, and not thinking about seeking such services in the near future",Somewhat optimistic,No,August 2021,
282,30,Female,Asian,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$40,000 to $79,999",Very optimistic,Not at all,"Frequently (Every other day, 50% of the time or more)",Constantly (Nearly every day or every day),Rarely (Only a few times in the month),"No, but thinking about seeking such services in the near future",Somewhat optimistic,No,August 2021,
211,40,Male,White,"Bachelor's degree (e.g., BA, BS)",Republican,,"Remote Education,Recently paused/terminated education to COVID-19 related reasons","$40,000 to $79,999",Somewhat optimistic,Constantly (Nearly every day or every day),"Frequently (Every other day, 50% of the time or more)",Constantly (Nearly every day or every day),"Frequently (Every other day, 50% of the time or more)","No, and not thinking about seeking such services in the near future",Somewhat optimistic,No,January 2021,
289,56,Female,White,Some college credit,Republican,,Non-remote working,"$10,000 to $39,999",Somewhat optimistic,Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)",Sometimes (Less than 50% of the time),"No, and not thinking about seeking such services in the near future",Somewhat optimistic,No,March 2021,
292,44,Male,White,Some college credit,Democrat,,Non-remote working,"$10,000 to $39,999",Somewhat optimistic,Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)","Frequently (Every other day, 50% of the time or more)","No, and not thinking about seeking such services in the near future",Indifferent,No,March 2021,
108,45,Male,White,"Bachelor's degree (e.g., BA, BS)",Republican,,Other,"$40,000 to $79,999",Indifferent,"Frequently (Every other day, 50% of the time or more)",Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)","Frequently (Every other day, 50% of the time or more)","No, but thinking about seeking such services in the near future",Somewhat pessimistic,"Maybe, I had symptoms but did not get tested",December 2020,
192,48,Female,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,Non-remote working,"$40,000 to $79,999",Somewhat pessimistic,Rarely (Only a few times in the month),Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"Yes, counseling and prescription drugs",Somewhat optimistic,No,February 2021,
204,29,Male,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$40,000 to $79,999",Indifferent,Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),"Frequently (Every other day, 50% of the time or more)","Frequently (Every other day, 50% of the time or more)","Yes, counseling",Somewhat pessimistic,No,January 2021,
282,31,Male,Black/African American,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$80,000 to $119,999",Somewhat optimistic,Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"No, but thinking about seeking such services in the near future",Very optimistic,No,February 2021,
225,30,Female,White,Some college credit,Republican,,Non-remote working,"$40,000 to $79,999",Somewhat pessimistic,Sometimes (Less than 50% of the time),Constantly (Nearly every day or every day),Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),"No, and not thinking about seeking such services in the near future",Somewhat pessimistic,No,March 2021,
388,29,Male,White,"Post-bachelor's degree (e.g., MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",Democrat,,Work from home,"$40,000 to $79,999",Somewhat optimistic,Not at all,Rarely (Only a few times in the month),Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),"No, and not thinking about seeking such services in the near future",Somewhat optimistic,No,January 2021,
140,44,Male,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$40,000 to $79,999",Very optimistic,Rarely (Only a few times in the month),Rarely (Only a few times in the month),Rarely (Only a few times in the month),Rarely (Only a few times in the month),"No, and not thinking about seeking such services in the near future",Somewhat optimistic,No,April 2021,
196,43,Male,White,"Post-bachelor's degree (e.g., MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",Republican,,Work from home,"$40,000 to $79,999",Somewhat optimistic,"Frequently (Every other day, 50% of the time or more)",Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)",Constantly (Nearly every day or every day),"No, and not thinking about seeking such services in the near future",Very optimistic,No,January 2021,
375,38,Male,"Asian,White","Bachelor's degree (e.g., BA, BS)",Democrat,,"Work from home,Non-remote working","$40,000 to $79,999",Very pessimistic,Rarely (Only a few times in the month),Rarely (Only a few times in the month),Not at all,Not at all,"No, and not thinking about seeking such services in the near future",Very optimistic,No,I will decline a COVID-19 vaccination.,
382,36,Female,White,"Associate's degree (e.g., AA, AS)",Independent,,Work from home,"$40,000 to $79,999",Somewhat optimistic,Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),Not at all,Not at all,"No, and not thinking about seeking such services in the near future",Somewhat pessimistic,No,I will decline a COVID-19 vaccination.,
53,24,Male,Asian,"Bachelor's degree (e.g., BA, BS)",Independent,,Work from home,"$10,000 to $39,999",Somewhat optimistic,Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)",Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)","Yes, counseling and prescription drugs",Somewhat optimistic,No,February 2021,Very interested (2)
440,35,Male,White,"Bachelor's degree (e.g., BA, BS)",Republican,,Remote Education,"$40,000 to $79,999",Somewhat optimistic,"Frequently (Every other day, 50% of the time or more)","Frequently (Every other day, 50% of the time or more)",Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)","No, but thinking about seeking such services in the near future",Somewhat optimistic,No,December 2020,
426,67,Female,White,Some college credit,Republican,,"Work from home,Non-remote working","$40,000 to $79,999",Very optimistic,Not at all,Not at all,Not at all,Not at all,"Yes, counseling",Indifferent,No,January 2021,
439,36,Female,White,"Post-bachelor's degree (e.g., MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",Independent,,Non-remote working,"$10,000 to $39,999",Somewhat optimistic,"Frequently (Every other day, 50% of the time or more)","Frequently (Every other day, 50% of the time or more)",Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)","No, and not thinking about seeking such services in the near future",Somewhat pessimistic,No,March 2021,
166,23,Female,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$40,000 to $79,999",Somewhat pessimistic,Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"Yes, prescription drugs",Somewhat pessimistic,No,January 2021,
497,43,Male,White,"Bachelor's degree (e.g., BA, BS)",Independent,,Work from home,"$10,000 to $39,999",Somewhat pessimistic,Rarely (Only a few times in the month),"Frequently (Every other day, 50% of the time or more)",Not at all,Rarely (Only a few times in the month),"No, and not thinking about seeking such services in the near future",Somewhat optimistic,No,I will decline a COVID-19 vaccination.,
278,42,Female,Hispanic/Latino,"Bachelor's degree (e.g., BA, BS)",Republican,,Work from home,"$40,000 to $79,999",Somewhat pessimistic,Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"Frequently (Every other day, 50% of the time or more)","No, but thinking about seeking such services in the near future",Somewhat pessimistic,"Yes, I tested positive",February 2021,
359,35,Female,White,"Associate's degree (e.g., AA, AS)",Democrat,,"Remote Education,Non-remote working","$40,000 to $79,999",Somewhat optimistic,Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Not at all,Not at all,"No, and not thinking about seeking such services in the near future",Indifferent,"Maybe, I had symptoms but did not get tested",February 2021,
115,28,Male,White,"Post-bachelor's degree (e.g., MA, MS, MEng, MEd, MSW, MBA, MD, DDS, DVM, LLB, JD, PhD, EdD)",Democrat,,Recently paused/terminated education to COVID-19 related reasons,"$80,000 to $119,999",Somewhat pessimistic,"Frequently (Every other day, 50% of the time or more)",Constantly (Nearly every day or every day),"Frequently (Every other day, 50% of the time or more)",Constantly (Nearly every day or every day),"Yes, counseling",Very optimistic,"Maybe, I had symptoms but did not get tested",March 2021,Very interested (2)
610,38,Male,White,"Bachelor's degree (e.g., BA, BS)",Independent,,Prefer not to say,"$10,000 to $39,999",Indifferent,Not at all,Not at all,Not at all,Not at all,"Yes, counseling",Indifferent,No,January 2021,
510,28,Male,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$80,000 to $119,999",Somewhat optimistic,Not at all,Not at all,Not at all,Not at all,"No, and not thinking about seeking such services in the near future",Somewhat optimistic,No,February 2021,Moderately interested (3)
311,58,Male,White,"Bachelor's degree (e.g., BA, BS)",Republican,,Work from home,"$10,000 to $39,999",Somewhat pessimistic,Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),"Yes, counseling and prescription drugs",Somewhat pessimistic,No,December 2020,
582,23,Male,White,Some college credit,Independent,,"Recently paused/terminated education to COVID-19 related reasons,Work from home","$10,000 to $39,999",Somewhat pessimistic,Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),Rarely (Only a few times in the month),"Yes, prescription drugs",Somewhat pessimistic,No,September 2021,
451,33,Male,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$40,000 to $79,999",Somewhat pessimistic,Rarely (Only a few times in the month),Not at all,Not at all,Not at all,"Yes, counseling",Very optimistic,No,March 2021,
372,46,Female,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$40,000 to $79,999",Somewhat pessimistic,Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),Sometimes (Less than 50% of the time),"Yes, counseling and prescription drugs",Somewhat pessimistic,No,December 2020,
676,50,Female,"American Indian/Alaskan Native,White","Bachelor's degree (e.g., BA, BS)",Independent,,Non-remote working,"$40,000 to $79,999",Very optimistic,Rarely (Only a few times in the month),Not at all,Not at all,Not at all,"Yes, counseling",Very optimistic,No,I will decline a COVID-19 vaccination.,
168,31,Female,White,"Bachelor's degree (e.g., BA, BS)",Democrat,,Work from home,"$40,000 to $79,999",Somewhat pessimistic,Rarely (Only a few times in the month),Rarely (Only a few times in the month),Rarely (Only a few times in the month),Sometimes (Less than 50% of the time),"Yes, counseling and prescription drugs",Somewhat pessimistic,No,March 2021,
262,65,Male,White,"Bachelor's degree (e.g., BA, BS)",Republican,,Other,"$80,000 to $119,999",Indifferent,Sometimes (Less than 50% of the time),Rarely (Only a few times in the month),Rarely (Only a few times in the month),"Frequently (Every other day, 50% of the time or more)","No, but thinking about seeking such services in the near future",Indifferent,"Maybe, I had symptoms but did not get tested",December 2020,
